Timestamp	Container_ID	Cargo_Type	Origin	Destination	Temperature_C	Humidity_Percent	Vibration_Level	Distance_Remaining_km	Spoilage_Risk	Recommended_Action	Alert_Status
2026-07-11T14:28:01.311132+00:00	CONT-1000	Banana	Bengaluru	Delhi	13.88	88.81	0.027	2149.98	Low	Continue	Normal
2026-07-11T14:28:02.323215+00:00	CONT-1002	Strawberry	Bengaluru	Delhi	0.97	88.96	0.037	2149.94	Low	Continue	Normal
2026-07-11T14:28:04.341801+00:00	CONT-1002	Strawberry	Bengaluru	Delhi	1.03	89.38	0.026	2149.9	Low	Continue	Normal
2026-07-11T14:28:04.345891+00:00	CONT-1004	Mango	Bengaluru	Delhi	11.06	86.3	0.044	2149.95	Low	Continue	Normal
2026-07-11T14:28:05.348412+00:00	CONT-1001	Avocado	Bengaluru	Delhi	5.87	86.26	0.037	2149.88	Low	Continue	Normal
2026-07-11T14:28:06.353340+00:00	CONT-1000	Banana	Bengaluru	Delhi	13.7	88.13	0.034	2149.93	Low	Continue	Normal
2026-07-11T14:28:06.360208+00:00	CONT-1004	Mango	Bengaluru	Delhi	10.99	85.94	0.059	2149.93	Low	Continue	Normal
2026-07-11T14:28:07.366369+00:00	CONT-1002	Strawberry	Bengaluru	Delhi	1.15	89.1	0.035	2149.84	Low	Continue	Normal
2026-07-11T14:28:07.369350+00:00	CONT-1004	Mango	Bengaluru	Delhi	11.04	85.91	0.056	2149.92	Low	Continue	Normal
2026-07-11T14:28:08.377465+00:00	CONT-1004	Mango	Bengaluru	Delhi	10.99	85.7	0.044	2149.91	Low	Continue	Normal
2026-07-11T14:28:09.383647+00:00	CONT-1004	Mango	Bengaluru	Delhi	10.84	85.31	0.057	2149.9	Low	Continue	Normal
2026-07-11T14:28:11.392955+00:00	CONT-1000	Banana	Bengaluru	Delhi	13.34	88.52	0.013	2149.88	Low	Continue	Normal
2026-07-11T14:28:11.393718+00:00	CONT-1001	Avocado	Bengaluru	Delhi	5.73	87.14	0.073	2149.76	Low	Continue	Normal
2026-07-11T14:28:11.395237+00:00	CONT-1002	Strawberry	Bengaluru	Delhi	1.3	88.85	0.568	2149.76	Low	Continue	Warning
2026-07-11T14:28:11.396251+00:00	CONT-1004	Mango	Bengaluru	Delhi	10.84	84.62	0.069	2149.88	Low	Continue	Normal
2026-07-11T14:28:13.404436+00:00	CONT-1001	Avocado	Bengaluru	Delhi	5.78	87.77	0.05	2149.72	Low	Continue	Normal
2026-07-11T14:28:13.407959+00:00	CONT-1002	Strawberry	Bengaluru	Delhi	1.36	88.81	0.556	2149.72	Low	Continue	Warning
2026-07-11T14:28:13.409336+00:00	CONT-1003	Grapes	Bengaluru	Delhi	1.23	88.74	0.049	2149.72	Low	Continue	Normal
2026-07-11T14:28:15.420333+00:00	CONT-1002	Strawberry	Bengaluru	Delhi	1.43	88.8	1.335	2149.68	Medium	Continue	Critical
2026-07-11T14:28:15.422092+00:00	CONT-1003	Grapes	Bengaluru	Delhi	1.28	88.4	0.041	2149.68	Low	Continue	Normal
2026-07-11T14:28:16.423788+00:00	CONT-1000	Banana	Bengaluru	Delhi	13.33	89.62	0.003	2149.83	Low	Continue	Normal
2026-07-11T14:28:16.425890+00:00	CONT-1001	Avocado	Bengaluru	Delhi	5.99	88.53	0.079	2149.66	Low	Continue	Normal
2026-07-11T14:28:16.429431+00:00	CONT-1003	Grapes	Bengaluru	Delhi	1.15	88.8	0.047	2149.66	Low	Continue	Normal
2026-07-11T14:28:17.438632+00:00	CONT-1002	Strawberry	Bengaluru	Delhi	1.51	88.38	0.6	2149.64	Medium	Continue	Warning
2026-07-11T14:28:20.461372+00:00	CONT-1003	Grapes	Bengaluru	Delhi	1.22	89.05	0.083	2149.58	Low	Continue	Normal
2026-07-11T14:28:21.467073+00:00	CONT-1000	Banana	Bengaluru	Delhi	12.85	89.93	0.007	2149.78	Low	Continue	Normal
2026-07-11T14:28:22.477379+00:00	CONT-1003	Grapes	Bengaluru	Delhi	1.12	89.41	0.089	2149.54	Low	Continue	Normal
2026-07-11T14:28:23.480790+00:00	CONT-1000	Banana	Bengaluru	Delhi	12.77	89.88	0	2149.76	Low	Continue	Normal
2026-07-11T14:28:23.481747+00:00	CONT-1001	Avocado	Bengaluru	Delhi	5.62	88.37	0.052	2149.52	Low	Continue	Normal
2026-07-11T14:28:23.483655+00:00	CONT-1002	Strawberry	Bengaluru	Delhi	1.75	88.17	0.563	2149.52	Medium	Continue	Warning
2026-07-11T14:28:23.484809+00:00	CONT-1004	Mango	Bengaluru	Delhi	11.29	84.3	0.07	2149.76	Low	Continue	Normal
2026-07-11T14:28:24.488622+00:00	CONT-1002	Strawberry	Bengaluru	Delhi	1.8	88.33	0.551	2149.5	High	Reroute	Critical
2026-07-11T14:28:25.491294+00:00	CONT-1000	Banana	Bengaluru	Delhi	12.77	89.73	0.016	2149.74	Low	Continue	Normal
2026-07-11T14:28:25.496262+00:00	CONT-1004	Mango	Bengaluru	Delhi	11.22	84.18	0.054	2149.74	Low	Continue	Normal
2026-07-11T14:28:26.497813+00:00	CONT-1000	Banana	Bengaluru	Delhi	12.81	89.89	0.023	2149.73	Low	Continue	Normal
2026-07-11T14:28:26.502576+00:00	CONT-1003	Grapes	Bengaluru	Delhi	1.24	90.21	0.116	2149.46	Low	Continue	Normal
2026-07-11T14:28:28.515280+00:00	CONT-1000	Banana	Bengaluru	Delhi	12.88	89.72	0.026	2149.71	Low	Continue	Normal
2026-07-11T14:28:29.523291+00:00	CONT-1002	Strawberry	Bengaluru	Delhi	1.97	87.99	0.6	2149.4	High	Reroute	Critical
2026-07-11T14:28:29.527645+00:00	CONT-1003	Grapes	Bengaluru	Delhi	1.38	90.44	0.097	2149.4	Low	Continue	Normal
2026-07-11T14:28:29.528698+00:00	CONT-1004	Mango	Bengaluru	Delhi	10.84	83.88	0.026	2149.7	Low	Continue	Normal
2026-07-11T14:28:30.530545+00:00	CONT-1001	Avocado	Bengaluru	Delhi	5.3	88.2	0.114	2149.38	Low	Continue	Normal
2026-07-11T14:28:30.532995+00:00	CONT-1002	Strawberry	Bengaluru	Delhi	1.99	88.22	0.97	2149.38	High	Reroute	Critical
